date;time;severity;message;
2023-05-26;23:35:30.274;CoreInfo;RexCore version: 2.50.12 revision 14711-final;
2023-05-26;23:35:30.276;CoreInfo;Site ID: 2W7Y-8MZU-WLMJ-KYXZ-CC7A-UQWK-X9L2-3LBN;
2023-05-26;23:35:30.326;CoreInfo;Initialize permanent file (filename '/rex/rexcore/permem.dat', size 10240, period 300);
2023-05-26;23:35:30.326;CoreInfo;Loading persistance file '/rex/rexcore/permem.dat';
2023-05-26;23:35:30.347;CoreWarning;Load persistance file failed - header error(readed=2048, pattern=0x3231564E, len=8);
2023-05-26;23:35:30.347;CoreInfo;Loading backup persistance file '/rex/rexcore/permem.da~';
2023-05-26;23:35:30.347;CoreInfo;Persistent memory: Reset;
2023-05-26;23:35:30.347;CoreInfo;Creating persistance file '/rex/rexcore/permem.dat';
2023-05-26;23:35:30.348;CoreInfo;Persistent memory: Clearing active flags;
2023-05-26;23:35:30.348;CoreInfo;Persistent memory: Defragmenting;
2023-05-26;23:35:30.348;CoreInfo;Persistent memory: used 0 blocks (0 Bytes); unused 0 blocks (0 Bytes); free 1 blocks (10232 Bytes);
2023-05-26;23:35:30.348;DgnError;Unable to load authentication database from "/rex/rexcore/auth.rex": File open error;
2023-05-26;23:35:30.349;CoreWarning;Unable to locate CA certificates in "/rex/certs/cacerts";
2023-05-26;23:35:31.036;CoreInfo;Control algorithm "/rex/rexcore/exec.rex" has been successfully loaded;
2023-05-26;23:35:31.036;CoreWarning;Swapping configurations;
2023-05-26;23:35:31.036;CoreInfo;Persistent memory: Clearing active flags;
2023-05-26;23:35:31.036;CoreInfo;Persistent memory: Defragmenting;
2023-05-26;23:35:31.036;DriverVerbose;MonarcoHatDrv: LibMonarco: monarco_init: OK;
2023-05-26;23:35:31.089;DriverVerbose;OpcUaServer: The Basic128Rsa15 security policy with openssl is added.;
2023-05-26;23:35:31.089;DriverVerbose;OpcUaServer: The basic256 security policy with openssl is added.;
2023-05-26;23:35:31.089;DriverVerbose;OpcUaServer: The basic256sha256 security policy with openssl is added.;
2023-05-26;23:35:31.089;DriverVerbose;OpcUaServer: The Aes128Sha256RsaOaep security policy with openssl is added.;
2023-05-26;23:35:31.089;DriverWarning;OpcUaServer: AccessControl: Unconfigured AccessControl. Users have all permissions.;
2023-05-26;23:35:31.089;DriverVerbose;OpcUaServer: AccessControl: Anonymous login is enabled;
2023-05-26;23:35:31.089;DriverVerbose;OpcUaServer: TCP network layer listening on opc.tcp://MonarcoHAT:4840/;
2023-05-26;23:35:31.089;CoreWarning;Configuration has been started.;
2023-05-26;23:35:31.089;CoreInfo;Persistent memory: used 0 blocks (0 Bytes); unused 0 blocks (0 Bytes); free 1 blocks (10232 Bytes);
2023-05-26;23:35:32.329;CoreInfo;RexCore is running;
2023-05-26;23:38:25.329;DgnWarning;USER 'admin' logged in from [::ffff:192.168.1.61]:59358;
2023-05-26;23:38:25.349;DgnWarning;USER 'admin' logged out from [::ffff:192.168.1.61]:59358;
2023-05-26;23:38:29.369;DgnWarning;USER 'admin' logged in from [::ffff:192.168.1.61]:59359;
