date;time;severity;message;
27.5.2023;00:07:30.836;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0xB1A, cnt=84);
27.5.2023;00:07:30.836;DriverVerbose;MBDRV(MBM): res=-1201, received 85 bytes (F7,03,50,00,00,00,01,FF,DB,FF,F4,FF,F7,FF,C6,01,FD,FF,3C,FF,AC,FF,C9,FF,8C,13,85,41,20,00,00,48,8E,80,00,FF,FF,FF,DB,FF,FF,FF,F4,FF,FF,FF,F7,FF,FF,FF,84,00,00,00,B5,00,00,00,A0,00,00,00,A8,00,00,01,FD,FF,FF,FF,41,FF,FF,FF,65,FF,FF,FF,59,FF,FF,FD,FE,70,7B);
27.5.2023;00:07:30.836;DriverVerbose;MBDRV(MBM): Read operation failed (item='external_comm_data', func=0 (f0), addr=36003, err=0, nRes=-1201);
27.5.2023;00:07:30.836;DriverRead;MBDRV(MBM): Requesting item='external_comm_data', slave=247, addr=36003, func=3 (read holding registers), count=40;
27.5.2023;00:07:30.836;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,8C,A3,00,28,8B,F0);
27.5.2023;00:07:30.936;DriverVerbose;MBDRV(MBM): res=0, received 85 bytes (F7,03,50,00,00,00,01,FF,DA,FF,F4,FF,F7,FF,C4,01,FE,FF,3C,FF,AC,FF,C9,FF,8C,13,85,41,20,00,00,48,8E,80,00,FF,FF,FF,DA,FF,FF,FF,F4,FF,FF,FF,F7,FF,FF,FF,C4,00,00,00,B5,00,00,00,A0,00,00,00,A7,00,00,01,FE,FF,FF,FF,41,FF,FF,FF,65,FF,FF,FF,59,FF,FF,FD,FE,E9,7E);
27.5.2023;00:07:30.936;DriverRead;MBDRV(MBM): Response to read command OK (res=0, item='external_comm_data', slave=247, addr=65535, func=3 (read holding registers), count=40, val1=0x0000, val2=0x0001;
;;;;
;;;;
;;;;
;;;;
;;;;F7035000000001FFDBFFF4FFF7FFC601FDFF3CFFACFFC9FF8C138541200000488E8000FFFFFFDBFFFFFFF4FFFFFFF7FFFFFF84000000B5000000A0000000A8000001FDFFFFFF41FFFFFF65FFFFFF59FFFFFDFE707B
;;;;
;;;;F7035000000001FFDAFFF4FFF7FFC401FEFF3CFFACFFC9FF8C138541200000488E8000FFFFFFDAFFFFFFF4FFFFFFF7FFFFFFC4000000B5000000A0000000A7000001FEFFFFFF41FFFFFF65FFFFFF59FFFFFDFEE97E
