date;time;severity;message;
2023-05-21;10:18:28.359;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.399;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.419;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.439;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.459;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.499;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.579;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.619;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.659;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.679;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.699;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.739;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.759;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.819;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.839;DriverWarning;MBDRV(MBM): FLUSH 1 bytes;
2023-05-21;10:18:28.939;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:18:28.969;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0x6AE3, cnt=4);
2023-05-21;10:18:28.969;DriverVerbose;MBDRV(MBM): res=-1201, received 5 bytes (FF,F7,03,3C,18);
2023-05-21;10:18:28.969;DriverVerbose;MBDRV(MBM): Read operation failed (item='running_data', func=0 (f0), addr=35100, err=0, nRes=-1201);
2023-05-21;10:18:28.969;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:18:28.979;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0xD904, cnt=4);
2023-05-21;10:18:28.979;DriverVerbose;MBDRV(MBM): res=-1201, received 5 bytes (0C,FA,00,00,00);
2023-05-21;10:18:28.979;DriverVerbose;MBDRV(MBM): Read operation failed (item='running_data', func=0 (f0), addr=35100, err=0, nRes=-1201);
2023-05-21;10:18:28.979;DriverVerbose;MBDRV(MBM): sent 8 bytes (F7,03,89,1C,00,1E,3A,CE);
2023-05-21;10:18:28.999;DriverInfo;MBDRV(MBM): Packet CRC invalid (crc=0x6015, cnt=4);
2023-05-21;10:18:28.999;DriverVerbose;MBDRV(MBM): res=-1201, received 5 bytes (00,F8,00,00,00);
2023-05-21;10:18:28.999;DriverVerbose;MBDRV(MBM): Read operation failed (item='running_data', func=0 (f0), addr=35100, err=0, nRes=-1201);
2023-05-21;10:18:29.009;DriverWarning;MBDRV(MBM): FLUSH 8 bytes;
