date;time;severity;message;
2023-05-21;10:23:40.682;CoreInfo;RexCore version: 2.52.0 revision 15123-final;
2023-05-21;10:23:40.684;CoreInfo;Site ID: 2W7Y-8MZU-WLMJ-KYXZ-CC7A-UQWK-X9L2-3LBN;
2023-05-21;10:23:40.702;CoreInfo;Initializing permanent file (filename '/rex/rexcore/permem.dat', size 10240, period 300);
2023-05-21;10:23:40.702;CoreInfo;Loading permanent file '/rex/rexcore/permem.dat';
2023-05-21;10:23:40.715;CoreWarning;Failed to load permanent file - header error (read=2048, pattern=0x3231564E, len=8);
2023-05-21;10:23:40.715;CoreInfo;Loading backup permanent file '/rex/rexcore/permem.da~';
2023-05-21;10:23:40.715;CoreInfo;Persistent memory: Reset;
2023-05-21;10:23:40.715;CoreInfo;Creating permanent file '/rex/rexcore/permem.dat';
2023-05-21;10:23:40.716;CoreInfo;Persistent memory: Clearing active flags;
2023-05-21;10:23:40.716;CoreInfo;Persistent memory: Defragmenting;
2023-05-21;10:23:40.716;CoreInfo;Persistent memory: used 0 blocks (0 Bytes); unused 0 blocks (0 Bytes); free 1 blocks (10232 Bytes);
2023-05-21;10:23:40.716;DgnError;Unable to load authentication database from "/rex/rexcore/auth.rex": File open error;
2023-05-21;10:23:40.717;CoreInfo;Unable to locate CA certificates in "/rex/certs/cacerts";
2023-05-21;10:23:40.736;CoreInfo;RexCore license valid.;
2023-05-21;10:23:40.736;CoreError;Unable to load control algorithm from "/rex/rexcore/exec.rex": File open error;
2023-05-21;10:23:41.879;CoreInfo;RexCore is running;
2023-05-21;10:53:48.886;DgnWarning;USER 'admin' logged in from [::ffff:192.168.1.61]:63713;
2023-05-21;10:53:50.337;CoreWarning;Swapping configurations;
2023-05-21;10:53:50.337;CoreInfo;Persistent memory: Clearing active flags;
2023-05-21;10:53:50.337;CoreInfo;Persistent memory: Defragmenting;
2023-05-21;10:53:50.337;DriverInfo;MonarcoHatDrv: Open /dev/spidev0.0 4000000Hz;
2023-05-21;10:53:50.337;DriverVerbose;MonarcoHatDrv: LibMonarco: monarco_init: OK;
2023-05-21;10:53:50.337;DriverVerbose;MonarcoHatDrv: Open SDC[0]: ADDR=0x000 VAL=0x0000 FLAGS=0x1;
2023-05-21;10:53:50.337;DriverVerbose;MonarcoHatDrv: Open SDC[1]: ADDR=0x001 VAL=0x0000 FLAGS=0x5;
2023-05-21;10:53:50.337;DriverVerbose;MonarcoHatDrv: Open SDC[2]: ADDR=0x002 VAL=0x0000 FLAGS=0x5;
